id,name,lat,lon,strategy,source
way/219691605,Saint Michael and All Angels,51.948133,-2.0584789,A4,osm
way/219895855,St Michael,52.2729208,0.0548058,A4,osm
way/223118090,St Michael & All Angels,52.5609388,-0.8411367,A4,osm
way/223213983,St. Michael's,51.9347355,-0.9755448,A4,osm
way/224081896,St Michael's Church,50.9892651,-3.0788943,A4,osm
way/225923397,St Michael and All Angels,52.3857134,-2.5343206,A4,osm
way/228735000,Saint Michael & All Angels,51.6862242,-2.6435242,A4,osm
way/228784219,Saint Michael,52.6770583,1.062722,A4,osm
way/230114422,St Michael's Church,50.672724,-3.8390625,A4,osm
way/231364954,"St Michael's, Hernhill",51.3077662,0.9612475,A4,osm
way/231815453,St Michael & All Angels,52.8559645,-0.9079557,A4,osm
way/232644303,Saint Michael (Great Gidding Parish Church),52.4347744,-0.3589178,A4,osm
way/235587802,St Michael & All Angels,52.0359285,-0.5236918,A4,osm
way/237456805,St Michael and All Angels,50.8274934,-0.1498064,A4,osm
way/237671512,Saint Michael's,51.2652718,-1.0889217,A4,osm
way/237855813,St Michael,52.5021086,-3.2578325,A4,osm
way/238071045,St Michael's,50.346315,-3.6812682,A4,osm
way/238431676,St Michael,53.3330848,-1.6501089,A4,osm
way/241923636,St Michael's Church,51.3368279,-0.7595215,A4,osm
way/242595095,St Michael & All Angels,51.6135398,-0.6426323,A4,osm
way/243055461,Saint Michael's,52.7603018,1.5384429,A4,osm
way/245630602,St. Michael,50.9625099,0.7331059,A4,osm
way/245915949,St Michael's,52.2698235,-2.4663161,A4,osm
way/246164614,St. Michael,52.0091483,-1.6367768,A4,osm
way/247095017,St. Michael & All Angels,53.0931319,-1.7623041,A4,osm
way/248280463,"Parish Church of St Michael and All Angels, Cuxton",51.3713793,0.4547553,A4,osm
way/250911340,St Michael's,53.2602701,-2.1244598,A4,osm
way/256632945,St Michael & All Angels,52.4537406,-2.5421876,A4,osm
way/256948864,"Orthodox Church of St. Michael, Dresden",52.9781473,-2.1317484,A4,osm
way/257070093,Parish Church of Saint Michael,51.3940698,-1.5827522,A4,osm
way/257351104,St Michael's,50.89541,-2.7530291,A4,osm
way/257441386,St Michael,52.1144084,-1.8909133,A4,osm
way/258584214,St Michael's Church,51.0697604,-2.9176711,A4,osm
way/260989514,St Michael,51.1475039,-2.1958398,A4,osm
way/261083501,St Michael & All Angels,51.151751,-2.9428737,A4,osm
way/263834627,St. Michael's Church,52.0920306,-1.0263365,A4,osm
way/265339171,St Michael's,50.7783882,-3.2300579,A4,osm
way/267262268,St Michael and All Angels,52.5177554,-2.1739085,A4,osm
way/267877694,St Michael's,50.6674275,-3.6179278,A4,osm
way/268977343,St Michael in the City,53.3990656,-2.9804294,A4,osm
way/272180466,St Michael and All Angels,50.8558263,-4.0641935,A4,osm
way/275547155,"Saint Michael & All Angels Church, Bussage",51.7301243,-2.171572,A4,osm
way/276020739,St Michael and All Angels,52.0387729,-1.770539,A4,osm
way/276371905,"St. Michael's Parish Church, Wincle",53.1917542,-2.0633038,A4,osm
way/277338848,St. Michael and All Angels,51.3725295,-2.1409104,A4,osm
way/280706005,St Michael and All Angels,51.1944343,-1.6109334,A4,osm
way/281326106,St Michael's,52.3570016,-3.0144483,A4,osm
way/282109582,St Michael the Archangel Church,51.005532,-3.1219104,A4,osm
way/284377697,Saint Michael,52.5412941,0.6218586,A4,osm
way/286523142,St Michael the Archangel,53.0822296,-0.9890749,A4,osm
way/286810626,St Michael & All Angels,53.2372765,-1.7897828,A4,osm
way/288188163,St Michael,53.2388297,-2.9951869,A4,osm
way/289406888,Church of St Michael,52.2441038,-3.3416911,A4,osm
way/290138741,Saint Michael and All Angels Church,53.2175879,-3.2494172,A4,osm
way/290618197,Saint Michael and All Angels Church,53.3633161,-2.1641691,A4,osm
way/291321156,Our Lady And St Michael's Catholic Church,51.825974,-3.0216921,A4,osm
way/293524090,St Michael and All Angels,51.6154374,-4.9392799,A4,osm
way/293797459,St Michael & All Angels,50.3238563,-3.7981454,A4,osm
way/295099589,St Michael's Church,53.2604969,-3.23296,A4,osm
way/295170279,St Michael's Church,52.1844472,-4.1597912,A4,osm
way/296746106,St. Michael and All Angels Church,52.5773063,-1.9803243,A4,osm
way/299205260,St Michael & All Angels,52.5753774,-0.3852239,A4,osm
way/299482773,St Michael,52.5141258,-2.0565862,A4,osm
way/302432243,"St Michael & All Angels, Church Broughton",52.9009521,-1.6960996,A4,osm
way/303089091,Saint Mary and Saint Michael,52.9341692,-6.2322084,A4,osm
way/304370963,Saint Michael and All Angels,51.230705,-1.4832269,A4,osm
way/307127226,St Michael's,51.9770361,-3.9923711,A4,osm
way/312507334,St Michael & All Angels,51.109457,-1.7516247,A4,osm
way/314934279,St Michael and All Angels,52.4683366,-2.9551809,A4,osm
way/315717537,Saint Michael,52.6255426,1.4521126,A4,osm
way/317936494,Saint Michael's Church,51.2141635,-1.199029,A4,osm
way/317995545,New Cross Community Church (St Michael),53.130375,-1.2563714,A4,osm
way/318313024,St Michael the Archangel,51.1490235,0.6863328,A4,osm
way/321987731,St Michael's,53.050422,-1.6881656,A4,osm
way/323240517,St Michael & All Angels,53.3741479,-3.1578232,A4,osm
way/323486330,St Michael's,50.658885,-3.303054,A4,osm
way/324258603,St Michael & All Angels,51.1989767,-2.6095216,A4,osm
way/324602658,"St. Michael & All Angels, Pensby",53.3478002,-3.0940873,A4,osm
way/326303093,St Michael’s,52.2356405,-0.9508318,A4,osm
way/329466380,Saint Michael and All Angels,51.4897562,0.1181299,A4,osm
way/331263958,St Michael & All Angels,50.8642777,-3.6258961,A4,osm
way/337206467,St Michael and All Angels Church,52.699055,-0.3389412,A4,osm
way/339006287,Saint Michael,52.6144904,1.0447548,A4,osm
way/339727606,St Michael and St Bishoy Orthodox Coptic Church,51.3894968,1.3921341,A4,osm
way/341761438,St Michael and All Angels,52.586945,-0.9582402,A4,osm
way/342781645,St Michael,52.1045079,-2.0011553,A4,osm
way/345371355,St Michael's Fulwell,51.4335396,-0.3477488,A4,osm
way/347509253,Saint Michael's,52.8692662,1.1669941,A4,osm
way/349858179,St Michael,52.0224075,-1.8822652,A4,osm
way/350637284,St Michael and All Angels,52.0343833,-1.8631866,A4,osm
way/351124962,St Michael,52.3201433,-1.4727461,A4,osm
way/351173002,St Michael and All Angels,52.299256,-2.9315703,A4,osm
way/352574004,Saint Michael and All Saints,52.555228,1.4727257,A4,osm
way/356068514,Saint Michael in the Hamlet with Saint Andrew,53.3766378,-2.9498321,A4,osm
way/356747853,St Michael & All Angels,52.0803794,-2.0282534,A4,osm
way/359178463,St Michael and All Angels (Chettisham Parish Curch),52.4262363,0.2735644,A4,osm
way/359361674,Saint Michael's Church,52.5894516,0.3914455,A4,osm
way/359831940,St Michael & All Angels,50.8273611,-4.5497294,A4,osm
way/359847690,St Michael and All Angels,51.0289913,-4.1373425,A4,osm
way/360731620,Saint Michael and All Angels,50.8722293,-1.5778175,A4,osm
way/360731815,St Michael and All Angels,50.8507308,-1.0933265,A4,osm
way/360738146,St Michael and All Angels,51.6549883,-0.4090831,A4,osm
way/360745692,St Michael the Archangel,50.7971354,0.1602889,A4,osm
way/360792506,St Michael and All Angels,51.4936106,-2.1398721,A4,osm
way/360863298,St Michael's,52.579402,-3.0915329,A4,osm
way/360864426,St Michael the Archangel,52.1331811,-2.6164885,A4,osm
way/360889179,St. Michael and All Angels,52.2469839,-2.8116071,A4,osm
way/360890761,St Michael,52.2495339,-2.5975589,A4,osm
way/360891446,St Michael's,52.5894027,-2.8141473,A4,osm
way/360912135,Saint Michael and All Angels,51.5411264,-0.2592695,A4,osm
way/361404172,St. Michael's and All Angels,51.3584377,-0.1410328,A4,osm
way/361404527,St Michael & All Angels,51.4303514,0.211832,A4,osm
way/361405923,St Michael & All Angels,51.4497205,-0.2021907,A4,osm
way/362087432,St Michael's,51.5551198,-3.0966479,A4,osm
