lat,lon
50.7126088,-3.9829838
50.7146265,-3.9833164
50.7187496,-3.9839823
50.7202475,-3.9842614
50.7253774,-3.9819869
50.7275592,-3.9795613
50.7280278,-3.9772226
50.7277324,-3.9754631
50.7272043,-3.9742721
50.7263426,-3.9735532
50.7254402,-3.9731133
50.7244554,-3.9724588
50.7233076,-3.9718688
50.7221359,-3.9708549
50.7209235,-3.9701844
50.7189129,-3.9683819
50.7171637,-3.9675772
50.715333,-3.9672875
50.7125409,-3.9661395
50.7115965,-3.9650344
50.7110803,-3.9619446
50.7110394,-3.9597347
50.7116645,-3.9577818
50.7124798,-3.9564514
50.7146061,-3.9542844
50.715839,-3.9523638
50.7172214,-3.9506793
50.718485,-3.9499497
50.7206654,-3.9492417
50.7215857,-3.9484585
50.7223974,-3.9472675
50.7229408,-3.9443278
50.7232193,-3.942225
50.7234027,-3.9407658
50.7234842,-3.9375472
50.7229816,-3.9329553
50.7211612,-3.9301229
50.7193408,-3.9278484
50.7170517,-3.9234493
50.7157542,-3.9185571
50.715761,-3.9161646
50.716121,-3.9140725
50.7170312,-3.9115834
50.7206196,-3.9051976
50.722238,-3.9003991
50.7222277,-3.896295
50.7224486,-3.8924168
50.7216367,-3.8884949
50.7203263,-3.8817785
50.7193273,-3.8778305
50.7193273,-3.8778305
50.7182676,-3.8755774
50.7169633,-3.874011
50.7153466,-3.8726807
50.7146401,-3.8723373
50.7139472,-3.8707495
50.7132678,-3.8685822
50.7128602,-3.8663721
50.7128466,-3.8633895
50.7130368,-3.8624454
50.7133493,-3.8608146
50.7145178,-3.8570166
50.7151428,-3.8552141
50.7169905,-3.8518882
50.7201967,-3.8475108
50.7218676,-3.8431978
50.7232532,-3.8401723
50.724598,-3.8372326
50.7258613,-3.8352799
50.726391,-3.8344646
50.7276543,-3.8312674
50.7287001,-3.8284779
50.7302485,-3.8256669
50.7313215,-3.8228989
50.7337118,-3.8193583
50.7362786,-3.815496
50.7372156,-3.8132429
50.7382477,-3.8105178
50.73911,-3.8084686
50.7396328,-3.8059902
50.7402439,-3.8044024
50.7412895,-3.8014359
50.7429766,-3.7986195
50.7441104,-3.797096
50.7447664,-3.7963008
50.7455191,-3.7951219
50.7455191,-3.7951219
50.7461641,-3.7946177
50.7472638,-3.7943816
50.7484586,-3.7936521
50.7491239,-3.792665
50.7496941,-3.7920427
50.7507123,-3.7906051
50.7520427,-3.7890387
50.7528709,-3.7882018
50.7534682,-3.7868071
50.7546356,-3.7842107
50.7552601,-3.7813997
50.7556809,-3.7785459
50.7559253,-3.7767649
50.7562782,-3.7749839
50.7565768,-3.7735248
50.7568483,-3.772645
50.757242,-3.7711859
50.7577171,-3.7693191
50.7587758,-3.7675595
50.7597803,-3.765521
50.7602011,-3.7638903
50.7606354,-3.7620449
50.7611105,-3.7601995
50.7619384,-3.7585258
50.7627121,-3.7570453
50.7639743,-3.7556505
50.7651687,-3.7542343
50.7684394,-3.7494493
50.7708143,-3.7469816
50.7730941,-3.7452221
50.7756858,-3.7441492
50.7781553,-3.7432909
50.781208,-3.7431192
50.7840164,-3.7446642
50.7853459,-3.7456727
50.7858139,-3.7461877
50.7863328,-3.7464881
50.7866245,-3.7465203
50.7868246,-3.7463218
50.7873536,-3.7452489
50.787686,-3.7447393
50.788466,-3.7433285
50.7890798,-3.7422878
50.7895037,-3.7412792
50.7896733,-3.739922
50.7900531,-3.7374973
50.7902701,-3.7345791
50.7903651,-3.7311244
50.7903786,-3.725245
50.7902837,-3.7226915
50.7901073,-3.7200308
50.7900395,-3.7182283
50.7897275,-3.7169838
50.7894698,-3.7165117
50.7891714,-3.7159967
50.7877199,-3.7146664
50.7854001,-3.712306
50.7833923,-3.7098598
50.7811131,-3.7066412
50.7801905,-3.70471
50.7796749,-3.7026501
50.7790779,-3.7007618
50.7785895,-3.695612
50.7786437,-3.6935949
50.7791593,-3.6874151
50.7798648,-3.6832523
50.7802719,-3.681922
50.7819,-3.6763
50.7837179,-3.6714506
50.7845319,-3.6687899
50.7855358,-3.6620092
50.786187,-3.6569238
50.7863769,-3.6550677
50.7866211,-3.6541235
50.7875639,-3.6529648
50.788371,-3.6523855
50.7893002,-3.6521816
50.7896665,-3.6521709
50.7900667,-3.6521065
50.7908873,-3.6517632
50.7941495,-3.6496067
50.7951396,-3.648169
50.7962789,-3.6457443
50.7967536,-3.6441779
50.7978115,-3.6412597
50.7985574,-3.6382985
50.799127,-3.6361742
50.8002662,-3.6326337
50.8020292,-3.6299086
50.8042532,-3.6268401
50.8053245,-3.6249304
50.8066127,-3.6222696
50.808145,-3.620832
50.8089043,-3.6193085
50.8100839,-3.6175489
50.8107212,-3.6165404
50.8113178,-3.615768
50.8124296,-3.6142445
50.8124296,-3.6142445
50.8132838,-3.6131287
50.8146802,-3.6102319
50.8158055,-3.6080003
50.8172832,-3.6060047
50.8190862,-3.6027217
50.8201843,-3.5998464
50.8217567,-3.5962629
50.8232072,-3.5933447
50.8239934,-3.5917568
50.825769,-3.5877228
